epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,965.373,1.06871,0.75594,1.02161,0.79137,0.72513,0.77091,0.4699,1.45462,0.97546,1.22997,0.000270064,0.000270064,0.000270064
73,979.311,1.11296,0.7823,1.02617,0.78957,0.71447,0.76984,0.47355,1.455,0.98791,1.23051,0.000261065,0.000261065,0.000261065
74,991.119,1.08797,0.76349,1.01838,0.77928,0.7162,0.76078,0.46271,1.45567,1.00845,1.23452,0.000252066,0.000252066,0.000252066
75,1004,1.04622,0.74445,1.00807,0.7629,0.70306,0.74766,0.4468,1.47241,1.02548,1.2412,0.000243067,0.000243067,0.000243067
76,1018.31,1.0925,0.75412,1.03155,0.80128,0.69781,0.76537,0.46341,1.45702,1.01175,1.23226,0.000234068,0.000234068,0.000234068
77,1032.48,1.08851,0.73977,1.02539,0.80698,0.68124,0.7665,0.4666,1.44322,1.01004,1.20991,0.000225068,0.000225068,0.000225068
78,1043.91,1.07543,0.74879,1.00925,0.81807,0.70267,0.7733,0.46114,1.4534,0.98698,1.21937,0.000216069,0.000216069,0.000216069
79,1056.93,1.06678,0.74586,1.01003,0.85262,0.70116,0.7854,0.4676,1.45034,0.97495,1.22713,0.00020707,0.00020707,0.00020707
80,1070.9,1.03235,0.73255,1.00908,0.80849,0.70717,0.7746,0.4652,1.44278,0.97688,1.21906,0.000198071,0.000198071,0.000198071
81,1085.13,1.06887,0.73399,1.00982,0.79543,0.69637,0.75431,0.45973,1.44716,0.99419,1.22813,0.000189072,0.000189072,0.000189072
82,1096.55,1.02851,0.71565,0.99628,0.76909,0.69799,0.74867,0.45022,1.4532,1.00394,1.23319,0.000180073,0.000180073,0.000180073
83,1110.05,1.02669,0.71039,1.00176,0.80635,0.70148,0.76502,0.45192,1.4605,1.01151,1.23987,0.000171074,0.000171074,0.000171074
84,1123.95,1.06,0.72784,1.00827,0.76272,0.73653,0.75908,0.4508,1.46409,1.01616,1.2389,0.000162075,0.000162075,0.000162075
85,1138.09,1.01524,0.70643,0.9986,0.74826,0.75292,0.77056,0.46232,1.45432,0.98989,1.23627,0.000153076,0.000153076,0.000153076
86,1150.27,1.0196,0.69165,0.98795,0.79718,0.72612,0.76704,0.46976,1.43545,0.98447,1.22621,0.000144077,0.000144077,0.000144077
87,1162.91,1.02392,0.69887,0.99295,0.77476,0.72869,0.76804,0.4621,1.46073,0.98083,1.2385,0.000135077,0.000135077,0.000135077
88,1177.24,1.04211,0.70347,1.00626,0.77647,0.73354,0.77194,0.4584,1.46207,0.97918,1.23418,0.000126078,0.000126078,0.000126078
89,1190.85,1.01589,0.70449,1.00017,0.78751,0.71851,0.77164,0.46295,1.46842,0.99292,1.23798,0.000117079,0.000117079,0.000117079
90,1203.7,1.02975,0.69409,0.99211,0.77421,0.72712,0.76818,0.45832,1.46631,0.99359,1.24046,0.00010808,0.00010808,0.00010808
91,1218.6,0.98668,0.71265,0.9837,0.81232,0.67585,0.75286,0.44893,1.48152,1.03657,1.25397,9.9081e-05,9.9081e-05,9.9081e-05
92,1231.51,0.98514,0.68062,0.97569,0.76858,0.71123,0.75615,0.44807,1.48067,1.01854,1.26203,9.00819e-05,9.00819e-05,9.00819e-05
93,1245.86,0.95835,0.64341,0.96527,0.80769,0.67608,0.7531,0.44424,1.47358,1.02536,1.25634,8.10828e-05,8.10828e-05,8.10828e-05
94,1259.27,0.95681,0.64116,0.96514,0.79835,0.68506,0.75646,0.44798,1.46162,1.01971,1.2422,7.20837e-05,7.20837e-05,7.20837e-05
95,1270.28,0.957,0.64294,0.97437,0.75139,0.72812,0.75846,0.45031,1.46046,1.01052,1.246,6.30846e-05,6.30846e-05,6.30846e-05
96,1283.78,0.94704,0.62784,0.96296,0.77588,0.71155,0.76082,0.45568,1.45561,1.00991,1.24019,5.40855e-05,5.40855e-05,5.40855e-05
97,1298.12,0.96506,0.63779,0.97358,0.77574,0.72041,0.76403,0.45776,1.45601,1.00451,1.23843,4.50864e-05,4.50864e-05,4.50864e-05
98,1310.15,0.95511,0.61852,0.96147,0.76676,0.71676,0.75787,0.45444,1.46259,1.0035,1.24387,3.60873e-05,3.60873e-05,3.60873e-05
99,1321.55,0.91812,0.61935,0.95291,0.77555,0.70622,0.75885,0.45782,1.46271,0.99766,1.24323,2.70882e-05,2.70882e-05,2.70882e-05
100,1335.62,0.93715,0.61604,0.95775,0.77266,0.71143,0.75878,0.45739,1.46479,0.99874,1.24585,1.80891e-05,1.80891e-05,1.80891e-05
